TASK,category,,
Parallel/Multiple patching using OEM,automatable,,
Report via OEM provides DB size growth in GB/month and can be used for comparison,automatable,,
"logfiles,alert files,trace files and any files auto clean",automatable,,
Export Backup,automatable,,
Export Backupfiles Cleanup,automatable,,
Executive & Analyst Dashboard Report,automatable,,
Certificate lifespan alert report,automatable,,
IPS and AV signature update report,automatable,,
Certificate Expiration Report ,automatable,,
Virus & Spywares Blocked Report,automatable,,
Users & Transactions Blocked Report,automatable,,
Virus & Spywares Allowed Report,automatable,,
Device status report,automatable,,
Purdue Windows Account Transactions report,automatable,,
Purdue VPN logon attempts report,automatable,,
Monthly Purdue Internet Email Statistics report,automatable,,
Weekly Purdue Internet Email Statistics report,automatable,,
Certificate lifespan alert report,automatable,,
IPS and AV signature update report,automatable,,
Certificate Expiration Report ,automatable,,
Virus & Spywares Blocked Report,automatable,,
Users & Transactions Blocked Report,automatable,,
Create a new site,automatable,,
Add user to group or domin,automatable,,
Remove user from group or domin,automatable,,
Backup/Restore sites,automatable,,
Health analyzer reports,automatable,,
Disk Space,automatable,,
CPU utilization,automatable,,
Memory utilization,automatable,,
Server status,automatable,,
Enabling the features at web application level,automatable,,
Auto SP Installation (2010 / 2013) on Standalone servers,automatable,,
SharePoint site inventory,automatable,,
Sitecollections administrators list,automatable,,
Create Site collection,automatable,,
Export the wsp files from SP farm,automatable,,
Tablespace Growth,automatable,,
Backup Report,automatable,,
Database Growth,automatable,,
Patching,automatable,,
Incremental Backups,automatable,,
Archive Cleanup,automatable,,
Old Logfiles Cleanup,automatable,,
Old Tracefiles Cleanup,automatable,,
Expired Backup Cleanup,automatable,,
DB Stats Collection,automatable,,
Export Backup,automatable,,
Export Backupfiles Cleanup,automatable,,
PDP master job,automatable,,
My SQL DB Down Alert,automatable,,
SQL Server Database Level Backup Report.,automatable,,
SQL Server Database Creation Alerts.,automatable,,
SQL Server Storage Reports.,automatable,,
SQL Server Login Report.,automatable,,
SQL Server Log File Saturation Info.,automatable,,
SQL Server Rebuild and Statistic Update.,automatable,,
BaseLine Information for SP Servers. ,automatable,,
Silent Installation for SQL Server.,automatable,,
SQL Build Report.,automatable,,
Daily Isilon Cluster Health Check,automatable,,
Daily SyncIQ Report,automatable,,
Isilon Storage pool status,automatable,,
Isilon system/client/protocol statistics,automatable,,
Isilon disk drive status,automatable,,
Isilon snapshot check,automatable,,
Isilon Job repots,automatable,,
Isilon Node status,automatable,,
Netapp Aggregate Report,automatable,,
Netapp failed disk report,automatable,,
Netapp volume growth,automatable,,
Netapp Snapmirror status,automatable,,
Netapp PSU/Fan check,automatable,,
Extract the CPU memory utilization,automatable,,
Security Patching,automatable,,
Ensure all systems are on latest patch installed and no systems are vulnerable,automatable,,
Lync QA check,automatable,,
FIM QA Check,automatable,,
PKI QA Check,automatable,,
Schema Attribute check,automatable,,
BIOS Upgrade Automation,automatable,,
MAC Delete Automation,automatable,,
Hardening Linux OS ,automatable,,
Add/Remove/Modify Volume Group,automatable,,
Add/Remove/Modify Logical Volume,automatable,,
Monitor System Access - 3 predefined parameters ,automatable,,
oracle parmeters shmall/max supported/change,automatable,,
sysctl parmeters supported/change,automatable,,
ulimit supported/change,automatable,,
User Creation,automatable,,
User Block,automatable,,
Uptime checking,automatable,,
Disk status report,automatable,,
Satelite Registration,automatable,,
File System Extension,automatable,,
Share Creation,automatable,,
Creating/Deleting VMware user accounts,automatable,,
Modifying  roles and permissions in vsphere,automatable,,
Vmware Tools Installation / Updates,automatable,,
"Configuration of Virtual Hardware, Memory, NIC and VDISK using existing command lines",automatable,,
VMware snapshot report,automatable,,
VMWare Disk Consolidation Report,automatable,,
Datastore Utilization Report,automatable,,
Snapshot Report,automatable,,
ISO Report,automatable,,
Adding a new Hard disk ,automatable,,
Extending a exsisting hard disk ,automatable,,
Server reset if Hung,automatable,,
Deleting Snapshots ,automatable,,
Creating snapshots,automatable,,
Cold Migration of Virtual machines,automatable,,
Adding users into a Group,automatable,,
Adding & Removing Disks ,automatable,,
Disk space and paging space management,automatable,,
Evicting a node,automatable,,
Stopping and Starting the cluster service,automatable,,
Server reboot upon issue/request,automatable,,
Time Sync check & resync,automatable,,
Moving the users/computers from on OU to another OU,automatable,,
Group Owner change,automatable,,
Print Spooler Service Status checking or starting,automatable,,
Script to restart or Start service,automatable,,
Server Reboot Automation(Windows),automatable,,
Verify CPU Utilization,automatable,,
Verify Memory Utilization,automatable,,
VerifySpace Utilization,automatable,,
Server Out of Domain,automatable,,
Server not reachable ,automatable,,
Installing a print Driver ,automatable,,
Weekly Reboots,automatable,,
Checking TemporaryUser profiles,automatable,,
Deleting  TemporaryUser profiles,automatable,,
Renaming Temporary User profiles ,automatable,,
Disconnected User session removal,automatable,,
Server Reboot Upon approval or request ,automatable,,
Adding Disk space at OS level ,automatable,,
Adding a new Hard disk Drive ,automatable,,
Heart Beat Failure,automatable,,
High Memory Utilization,automatable,,
High CPU Utilization,automatable,,
UNIX Patching ,automatable,,
Heart Beat Failure,automatable,,
High Memory Utilization Issue,automatable,,
High CPU Utilization,automatable,,
Windows Patching,automatable,,
NBU Installation  Unix & Wintel,automatable,,
User Account Addition  Unix,automatable,,
Netgroup Configuration  Unix,automatable,,
Windows Virtual Server Deployment,automatable,,
Windows Physical Server Deployment,automatable,,
Solaris Physical Server Deployment,automatable,,
Tablespace Growth,automatable,,
Disk Space issue on C Drive,automatable,,
Add/Modify/Reset users,automatable,,
Bandwidth Utilisation,automatable,,
"User cannot send Skype for Business meetings from Microsoft Outlook. When you use Outlook’s Autocomplete feature to resolve recipients' addresses for the meeting invitation, the invitation is not sent, and you receive the following error message",automatable,,
Unix- user password reset,automatable,,
Troubleshhoting uninstallation of global protect,automatable,,
Outlook disconnected,automatable,,
Unable ot access websites which belong to customer,automatable,,
Unable to remove past reminders from outlook,automatable,,
Uninstall only outlook from office 2013,automatable,,
SEP not updating ,automatable,,
IE 11 not playing videos,automatable,,
Inbox keep updating,automatable,,
Unable to detect any wireless signal,automatable,,
Reset IE,automatable,,
Unable to complete training,automatable,,
 Unable to add or map printer,automatable,,
Unable to sign in to lync,automatable,,
Unable to configure new mail account,automatable,,
Unable to open / launch excel,automatable,,
Network password reset,automatable,,
Slow performance with shared mailbox,automatable,,
Right click option missing,automatable,,
Password reset through AD,automatable,,
Unable to update lync to skype,automatable,,
Contacts not synchronise on skype,automatable,,
Formula not working,automatable,,
Outlook : Add shared mailbox,automatable,,
Shared drives not connecting on VPN,automatable,,
Adobe product installation issues,automatable,,
unable to connect to global protect(error root/cimv2),automatable,,
Unable to open sites when on wifi,automatable,,
Outlokk 2013 creashes when printing,automatable,,
Unable to see status of contacts/skype presence information not visible in outlook,automatable,,
Frequent disconnect after successful login,automatable,,
Pool utilization,automatable,,
"[CI-usplx9068, CI-usplx9091, CI-usqlx4009, CI-usplx9067, CI-usplx9053, CI-usqlx4012, CI-usplx9090, CI-uswaxg437, CI-usslx6002, CI-usqlx4007] :Average (2 samples) disk free on /Tivoli is now 15%, which is below the warning threshold (15%) out of total size 0.6 GB 9( Total 9 CI;s)",automatable,,
"CI-usracipa431;CA-wcc - Expected state running, found state stopped (service description: CA-wcc)",automatable,,
"CI-usracipa431;CA-wcc-db - Expected state running, found state stopped (service description: CA-wcc-db)",automatable,,
Batch Job Sheets to KB Article conversion,automatable,,
DB OFFLINE,automatable,,
Filesystem full,automatable,,
Low CPU,automatable,,
db2_connection,automatable,,
checkpoint app_uow_log_space_used,automatable,,
LUW Space Management,automatable,,
Backup,automatable,,
DB2 Level,automatable,,
Monitoring the system,automatable,,
"Check allocated, used and free size in all sap prod system",automatable,,
DB2 Diag,automatable,,
Verifying DB2 operates normally after  Imperva agent upgrade.,automatable,,
IE History,automatable,,
IE reset,automatable,,
Outlook Addins,automatable,,
Outlook profile rebuilt,automatable,,
System slowness,automatable,,
Cross scripting error on websites internet explorer,automatable,,
Office products addins,automatable,,
Laptop,automatable,,
Network Printer,automatable,,
Desktop,automatable,,
FireEye Appliance,automatable,,
Firewall,automatable,,
FireEye Services,automatable,,
Anti- Virus,automatable,,
Default Desktop Extensions,automatable,,
